feedback,url,AVGrating,file
Overexposed (too bright),https://vexgateway.fastly.carvana.io/vex-309540/details/feature-4681866.jpg,1.5,Image0.jpg
Underexposed (too dark),https://vexgateway.fastly.carvana.io/vex-773624/details/feature-13562899.jpg,3.5,Image1.jpg
Underexposed (too dark),https://vexgateway.fastly.carvana.io/vex-284954/details/feature-4238552.jpg,2.5,Image2.jpg
Overexposed (too bright),https://vexgateway.fastly.carvana.io/vex-589701/details/feature-9931639.jpg,1.5,Image3.jpg
Underexposed (too dark),https://vexgateway.fastly.carvana.io/vex-468889/details/feature-7595050.jpg,2.25,Image4.jpg
None,https://vexgateway.fastly.carvana.io/vex-961195/details/feature-17273660.jpg,4.25,Image5.jpg
Overexposed (too bright),https://vexgateway.fastly.carvana.io/vex-543175/interiors/486017/original.jpg,1.25,Image6.jpg
None,https://vexgateway.fastly.carvana.io/vex-1001568/details/feature-18134306.jpg,4.75,Image7.jpg
None,https://vexgateway.fastly.carvana.io/vex-963916/details/feature-17328768.jpg,5.0,Image8.jpg
Underexposed (too dark),https://vexgateway.fastly.carvana.io/vex-799289/details/feature-14071059.jpg,2.75,Image9.jpg
None,https://vexgateway.fastly.carvana.io/vex-965617/details/feature-17362859.jpg,4.75,Image10.jpg
Overexposed (too bright),https://vexgateway.fastly.carvana.io/vex-921223/details/imperfection-3045308.jpg,2.5,Image11.jpg
None,https://vexgateway.fastly.carvana.io/vex-980423/details/feature-17684500.jpg,3.75,Image12.jpg
None,https://vexgateway.fastly.carvana.io/vex-995670/details/feature-18008513.jpg,4.25,Image13.jpg
None,https://vexgateway.fastly.carvana.io/vex-968611/details/feature-17424798.jpg,5.0,Image14.jpg
Underexposed (too dark),https://vexgateway.fastly.carvana.io/vex-478062/details/feature-7766308.jpg,3.0,Image15.jpg
Underexposed (too dark),https://vexgateway.fastly.carvana.io/vex-286423/details/feature-4264345.jpg,3.0,Image16.jpg
Underexposed (too dark),https://vexgateway.fastly.carvana.io/vex-328845/details/feature-5034334.jpg,3.25,Image17.jpg
Underexposed (too dark),https://vexgateway.fastly.carvana.io/vex-844402/details/feature-14946131.jpg,3.25,Image18.jpg
None,https://vexgateway.fastly.carvana.io/vex-977296/details/feature-17605231.jpg,5.0,Image19.jpg
None,https://vexgateway.fastly.carvana.io/vex-983133/details/feature-17743927.jpg,5.0,Image20.jpg
None,https://vexgateway.fastly.carvana.io/vex-985412/details/feature-17791888.jpg,4.0,Image21.jpg
Underexposed (too dark),https://vexgateway.fastly.carvana.io/vex-221347/details/feature-3792327.jpg,2.0,Image22.jpg
None,https://vexgateway.fastly.carvana.io/vex-957926/details/feature-17205845.jpg,4.5,Image23.jpg
Underexposed (too dark),https://vexgateway.fastly.carvana.io/vex-395036/details/feature-6243138.jpg,2.5,Image24.jpg
None,https://vexgateway.fastly.carvana.io/vex-959617/details/feature-17241655.jpg,4.5,Image25.jpg
